query	page	country	clicks	impressions	ctr	position	domain	simulated clicks	final clicks	date_range
types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	61.0	896.0	0.06808035714285714	2.739955357142857	archipro.com		61.0	2023-03-01:2023-01-31
architecture	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	30.0	883.0	0.03397508493771234	2.144960362400906	archipro.com		30.0	2023-03-01:2023-01-31
different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	26.0	366.0	0.07103825136612021	2.710382513661202	archipro.com		26.0	2023-03-01:2023-01-31
what are the different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	17.0	209.0	0.08133971291866028	2.3301435406698565	archipro.com		17.0	2023-03-01:2023-01-31
what are the different types of architects?	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	15.0	105.0	0.14285714285714285	1.6952380952380952	archipro.com		15.0	2023-03-01:2023-01-31
what types of architects are there	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	10.0	93.0	0.10752688172043011	2.225806451612903	archipro.com		10.0	2023-03-01:2023-01-31
types of architect	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	8.0	189.0	0.042328042328042326	2.7301587301587302	archipro.com		8.0	2023-03-01:2023-01-31
types of architect	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	PH	7.0	293.0	0.023890784982935155	3.52901023890785	archipro.com		7.0	2023-03-01:2023-01-31
different kinds of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	6.0	45.0	0.13333333333333333	2.8	archipro.com		6.0	2023-03-01:2023-01-31
types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	PH	6.0	97.0	0.061855670103092786	2.8350515463917523	archipro.com		6.0	2023-03-01:2023-01-31
architecture recruitment agencies	https://archipro.com/	US	5.0	49.0	0.10204081632653061	13.36734693877551	archipro.com		5.0	2023-03-01:2023-01-31
types of architect	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	IN	5.0	164.0	0.03048780487804878	7.152439024390244	archipro.com		5.0	2023-03-01:2023-01-31
what kind of architects are there	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	5.0	64.0	0.078125	2.609375	archipro.com		5.0	2023-03-01:2023-01-31
architect	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	4.0	22.0	0.18181818181818182	6.590909090909091	archipro.com		4.0	2023-03-01:2023-01-31
architect types	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	4.0	114.0	0.03508771929824561	2.912280701754386	archipro.com		4.0	2023-03-01:2023-01-31
different types of architect	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	4.0	36.0	0.1111111111111111	2.833333333333333	archipro.com		4.0	2023-03-01:2023-01-31
what type of architects are there	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	4.0	51.0	0.0784313725490196	2.7254901960784315	archipro.com		4.0	2023-03-01:2023-01-31
15 different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	PH	3.0	13.0	0.23076923076923078	1.0	archipro.com		3.0	2023-03-01:2023-01-31
15 different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	3.0	18.0	0.16666666666666666	1.0	archipro.com		3.0	2023-03-01:2023-01-31
all types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	3.0	13.0	0.23076923076923078	2.8461538461538463	archipro.com		3.0	2023-03-01:2023-01-31
different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	ZA	3.0	38.0	0.07894736842105263	2.8157894736842106	archipro.com		3.0	2023-03-01:2023-01-31
types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	CA	3.0	142.0	0.02112676056338028	2.922535211267606	archipro.com		3.0	2023-03-01:2023-01-31
types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	GB	3.0	123.0	0.024390243902439025	5.186991869918699	archipro.com		3.0	2023-03-01:2023-01-31
types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	IN	3.0	102.0	0.029411764705882353	5.450980392156863	archipro.com		3.0	2023-03-01:2023-01-31
what are different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	3.0	39.0	0.07692307692307693	1.9487179487179487	archipro.com		3.0	2023-03-01:2023-01-31
what are the different types of architects and what do they do	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	3.0	8.0	0.375	1.0	archipro.com		3.0	2023-03-01:2023-01-31
15 different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	GB	2.0	7.0	0.2857142857142857	1.0	archipro.com		2.0	2023-03-01:2023-01-31
